GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Split Price,com.splitprice.security,SpringSecurityAuditorAware,9,0,0,0,2,0,2,0,2,0
Split Price,com.splitprice.security,SecurityUtils,28,135,8,16,6,25,8,16,0,12
Split Price,com.splitprice.service.mapper,UserMapper,102,118,12,6,27,33,12,11,6,8
Split Price,com.splitprice.service.mapper,PersonMapperImpl,145,0,22,0,42,0,17,0,6,0
Split Price,com.splitprice.web.rest,PersonResource,209,0,14,0,46,0,14,0,7,0
Split Price,com.splitprice.web.rest,TransactionResource,209,0,14,0,46,0,14,0,7,0
Split Price,com.splitprice.web.rest,PublicUserResource,35,0,0,0,9,0,3,0,3,0
Split Price,com.splitprice.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
Split Price,com.splitprice.service.dto,UserDTO,23,11,0,0,9,4,6,1,6,1
Split Price,com.splitprice.service.dto,PersonDTO,12,62,0,6,6,21,3,12,3,9
Split Price,com.splitprice.service.dto,AdminUserDTO,92,95,0,0,31,27,18,11,18,11
Split Price,com.splitprice.web.rest.errors,ErrorConstants,7,0,0,0,2,0,1,0,1,0
Split Price,com.splitprice.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Split Price,com.splitprice.web.rest.errors,ExceptionTranslator,364,0,26,0,84,0,25,0,12,0
Split Price,com.splitprice.web.rest.errors,BadRequestAlertException,48,0,0,0,12,0,5,0,5,0
Split Price,com.splitprice.domain.enumeration,Status,15,0,0,0,3,0,1,0,1,0
Split Price,com.splitprice.web.rest.vm,ManagedUserVM,7,0,0,0,3,0,2,0,2,0
Split Price,com.splitprice.domain,Person_,3,0,0,0,1,0,1,0,1,0
Split Price,com.splitprice.domain,AbstractAuditingEntity,16,21,0,0,8,9,4,5,4,5
Split Price,com.splitprice.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Split Price,com.splitprice.domain,Person,85,62,4,8,29,19,16,13,14,9
Split Price,com.splitprice.domain,Authority,21,14,4,0,6,5,4,4,2,4
Split Price,com.splitprice.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Split Price,com.splitprice.domain,User,44,76,8,0,7,30,7,19,3,19
Split Price,com.splitprice.domain,Transaction,53,62,0,8,23,20,12,14,12,10
Split Price,com.splitprice.domain,User_,3,0,0,0,1,0,1,0,1,0
Split Price,com.splitprice.domain,Transaction_,3,0,0,0,1,0,1,0,1,0
Split Price,com.splitprice.security.oauth2,AuthorizationHeaderUtil,20,315,4,14,4,75,4,12,0,7
Split Price,com.splitprice.security.oauth2,OAuthIdpTokenResponseDTO,28,59,0,0,12,26,8,17,8,17
Split Price,com.splitprice.security.oauth2,JwtGrantedAuthorityConverter,7,0,0,0,3,0,2,0,2,0
Split Price,com.splitprice.security.oauth2,AudienceValidator,0,50,0,2,0,11,0,3,0,2
Split Price,com.splitprice.service.impl,TransactionServiceImpl,111,0,8,0,29,0,12,0,8,0
Split Price,com.splitprice.service.impl,PersonServiceImpl,142,0,0,0,28,0,8,0,8,0
Split Price,com.splitprice.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
Split Price,com.splitprice.config,LoggingConfiguration,53,0,8,0,15,0,5,0,1,0
Split Price,com.splitprice.config,JacksonConfiguration,23,0,0,0,6,0,6,0,6,0
Split Price,com.splitprice.config,FeignConfiguration,5,0,0,0,2,0,2,0,2,0
Split Price,com.splitprice.config,LocaleConfiguration,24,0,0,0,8,0,3,0,3,0
Split Price,com.splitprice.config,SecurityConfiguration,175,0,0,0,41,0,4,0,4,0
Split Price,com.splitprice.config,WebConfigurer,18,54,3,3,4,14,3,3,1,2
Split Price,com.splitprice.config,CRLFLogConverter,127,0,12,0,23,0,11,0,5,0
Split Price,com.splitprice.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
Split Price,com.splitprice.config,LiquibaseConfiguration,95,0,2,0,24,0,3,0,2,0
Split Price,com.splitprice.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
Split Price,com.splitprice.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
Split Price,com.splitprice.config,DatabaseConfiguration,3,0,0,0,1,0,1,0,1,0
Split Price,com.splitprice.service,UserService,462,0,52,0,104,0,37,0,11,0
Split Price,com.splitprice.client,OAuth2InterceptedFeignConfiguration,8,0,0,0,2,0,2,0,2,0
Split Price,com.splitprice.client,TokenRelayRequestInterceptor,26,0,0,0,6,0,3,0,3,0
Split Price,com.splitprice,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Split Price,com.splitprice,SplitPriceApp,147,0,10,0,34,0,11,0,6,0
